ds,y
2023-07-20,24.625
2023-07-20,20.65
2023-07-21,21.4
2023-07-22,23.5
2023-07-22,25.4
2023-07-23,25.65
2023-07-23,23.75
2023-07-23,20.5
2023-07-24,24.625
2023-07-24,25.0
2023-07-25,21.425
2023-07-25,20.2
2023-07-26,21.75
2023-07-26,24.8
2023-07-27,21.5
2023-07-27,20.5
2023-07-28,20.5
2023-08-02,23.125
2023-08-03,20.8
2023-08-04,24.25
2023-08-04,20.65
2023-08-04,24.625
2023-08-05,20.55
2023-08-10,20.65
2023-08-10,25.1
2023-08-11,25.25
2023-08-12,21.875
2023-08-12,22.7
2023-08-15,27.1
2023-08-15,25.25
2023-08-16,23.5
2023-08-16,20.65
2023-08-16,25.3
2023-08-17,20.5
2023-08-17,23.5
2023-08-18,21.775
2023-08-19,23.65
2023-08-21,20.85
2023-08-21,22.7
2023-08-22,25.25
2023-08-22,21.5
2023-08-23,25.2
2023-08-23,20.549999999999997
2023-08-23,20.75
2023-08-28,22.0
2023-08-28,21.5
2023-08-28,25.25
2023-08-29,22.65
2023-08-29,25.0
2023-08-29,25.65
2023-08-29,21.775
2023-08-31,20.85
2023-09-01,24.5
2023-09-01,20.95
2023-09-04,23.75
2023-09-05,25.1
2023-09-07,25.4
2023-09-07,20.549999999999997
2023-09-08,25.0
2023-09-08,25.0
2023-09-08,20.299999999999997
2023-09-09,24.0
2023-09-09,21.05
2023-09-11,20.75
2023-09-12,21.5
2023-09-13,23.75
2023-09-14,20.95
2023-09-15,20.65
2023-09-16,20.15
2023-09-18,20.65
2023-09-21,23.1
2023-09-22,23.75
2023-09-22,23.25
2023-09-22,20.5
2023-09-23,21.775
2023-09-23,25.1
2023-09-25,20.6
2023-09-25,22.125
2023-09-26,20.65
2023-09-27,23.3
2023-09-28,23.15
2023-09-28,20.299999999999997
2023-09-29,25.0
2023-09-30,21.1
2023-10-02,25.3
2023-10-02,23.75
2023-10-03,23.75
2023-10-03,20.15
2023-10-04,25.1
2023-10-06,22.65
2023-10-06,24.25
2023-10-07,24.625
2023-10-09,21.775
2023-10-10,20.5
2023-10-11,21.775
2023-10-12,22.875
2023-10-16,23.1
2023-10-17,24.6
2023-10-17,24.5
2023-10-18,24.0
2023-10-19,21.75
2023-10-19,25.1
2023-10-20,20.5
2023-10-20,24.8
2023-10-21,23.15
2023-10-25,23.75
2023-10-26,25.1
2023-10-26,23.2
2023-10-26,23.75
2023-10-27,24.5
2023-10-27,23.65
2023-10-27,20.85
2023-10-28,20.6
2023-10-28,21.875
2023-10-28,23.55
2023-10-30,25.25
2023-10-31,21.75
2023-11-02,20.5
2023-11-02,25.25
2023-11-04,25.3
2023-11-06,20.75
2023-11-06,23.3
2023-11-07,20.75
2023-11-08,20.5
